Dates,Sentiment Score,Sentiment
2024-04-20,0.022033898305084745,neutral
2024-04-21,0.0,neutral
2024-04-22,0.02682926829268293,neutral
2024-04-23,0.012167832167832167,neutral
2024-04-24,0.011904761904761904,neutral
2024-04-25,0.0,neutral
2024-04-26,0.00625,neutral
2024-04-27,0.1633449486436212,positive
2024-04-28,0.14116573525564755,positive
2024-04-29,0.1219814172003112,positive
2024-04-30,0.10711720830030688,positive
2024-05-01,0.0,neutral
2024-05-02,0.0,neutral
2024-05-03,0.016666666666666666,neutral
2024-05-04,0.019146825396825398,neutral
2024-06-01,0.0,neutral
2024-06-02,0.0,neutral
2024-06-03,0.0,neutral
2024-06-04,0.00909090909090909,neutral
2024-07-01,0.01020408163265306,neutral
2024-07-02,0.0,neutral
2024-07-03,0.0,neutral
2024-07-04,0.0,neutral
2024-08-01,0.0,neutral
2024-08-02,0.0,neutral
2024-08-03,-0.001663405088062622,neutral
2024-08-04,0.009523809523809525,neutral
2024-09-01,0.0,neutral
2024-09-02,0.0,neutral
2024-09-03,0.0,neutral
2024-09-04,0.0,neutral
2024-10-01,0.0,neutral
2024-10-02,0.0,neutral
2024-10-03,0.0,neutral
2024-10-04,0.0,neutral
2024-11-01,0.0064039408866995075,neutral
2024-11-02,0.0,neutral
2024-11-03,0.0020833333333333333,neutral
2024-11-04,0.020348837209302327,neutral
2024-12-01,0.0,neutral
2024-12-02,0.0,neutral
2024-12-03,0.014310344827586209,neutral
2024-12-04,0.025,neutral
